Track URI;Track Name;Album Name;Artist Name(s);Year;Genres;Record Label;;
spotify:track:5zcz6UnJ38dZ0qaNt40cuR;"""Dificil""";"""Mil Recuerdos""";"""Alan Y Sus Bates""";2005;"""rock and roll""";"""ARCI""";;
spotify:track:1ojsn5WBIELDuAAahv55xR;"""Despiertame""";"""Sueños En Transito""";"""Nicole""";2000;"""latin rock""";"""BMG Music""";;
spotify:track:7befTdwSsUM1MujlI9ak5b;"""Transpiralo""";"""Subliminal Kill""";"""Panico";2002;"""rock alternativo";"""electroclash""";;
spotify:track:7HQKdftOupOZb6xsxIWKnG;"""Aunque Se""";"""Aquel Beso""";"""Luz Eliana""";2001;"""balada";"""Rutvel Music Group";;
spotify:track:6bTpbSkKqpmbxtxUuRUoe0;"""Aire""";"""Elso Tumbay""";"""Elso Tumbay""";1995;"""latin alternative""";"""Beast Discos""";;
spotify:track:0I4yBcnnswDmSndzb1zYBg;"""CH-7""";"""Hawaii""";"""Aisles""";1984;"""progressive rock";progressive metal;;
spotify:track:6f0RM2KnIL0ei9HfQCmKX7;"""Mi Compromiso""";"""Boda Negra""";"""La BIG Rabia""";1999;"""bolero";"son jarocho""";;
spotify:track:7tuACuijPSvfCR78bRY5Lh;"""Corazón Desilucionado""";"""Hogar Dulce Hogar""";"""Machuca""";2010;"""latin rock";punk;;
spotify:track:0YLkH00Doh7W1IEEo9BA71;"""La Bala""";"""La Makinita""";"""Juanafé""";2014;"""cumbia""";"""Juanafé""";;
spotify:track:1rXl4pZQWZva8whEQENrI9;"""Hijos de la Tierra""";"""Hijos de la Tierra""";"""Los Jaivas""";1981;"""latin folklore";folclor andino;;
spotify:track:2SJZdhRHQEICu2dbzRPKpa;"""No Sabes Que Desperdicio Tengo en el Alma""";"""Se Remata el Siglo""";"""Los Tres""";1997;"""latin rock";rock en español;;
spotify:track:5F1qBUKeV22jGhX7oIrOUf;"""Apatrida""";"""Apatrida""";"""Nuclear""";2014;"""thrash metal";groove metal;;
spotify:track:0ip3MFKPt3q8ct6tjxU9XC;"""Corazón De Sandía""";"""Mama Funk""";"""Los Tetas""";2013;"""latin rock";funk rock;;
spotify:track:2I2Tui8iHDWnUaJr02LWYB;"""La Señal""";"""Imposible""";"""Rama""";2005;"""nu metal";"rap metal""";;
spotify:track:5F38bWepavLdPnAP0s22Xo;"""We Are Sudamerican Rockers""";"""Ni Por La Razón";" Ni Por La Fuerza (Edición Especial)""";1984;"""latin rock";"""latin rock";;
spotify:track:115aU4mUhsHVAoUlTqWnKP;"""La Fuerza Policial""";"""Pateando Craneos""";"""2X""";1993;"""nu metal";"rap metal""";;
spotify:track:6OPZsbZyZo0N4kLmyzWw1j;"""Electroshock""";"""Visceral""";"""LiLiTS""";1999;"""latin indie""";"""Independiente""";;
spotify:track:6Nmqg6NayPzIHUpWDGUSyL;"""Horas contigo""";"""AMOR MINIMAL""";"""Cancamusa""";2015;"""latin indie""";"""SinclaviRecords""";;
spotify:track:62AJURuozndxVn9IcVxICK;"""Embustera""";"""Nosotros Somos""";"""Los Tigres""";1997;"""musica norteña";"""EMI CHILE""";;
spotify:track:6i00EcnNhf2Vor47rEHcpu;"""Sleep"; Work;" Eat""";2019;false;12134291227;;
spotify:track:4APAeNJuMjjsKh155KcwA5;"""Tómbola""";"""Monna Bell Vol.2: Sus EP's en Hispavox (1961-1965)""";"""Monna Bell""";2014;"""bolero""";"""Rama Lama""";;
spotify:track:2Boj9Hlsx7Z61TwWrcJ7Qj;"""Qué Pacho""";"""Cerrado Con Llave""";"""González y los Asistentes""";1995;"""latin rock";"spoken word""";;
spotify:track:2nrdxMY3n4DHvmkwix4Ieq;"""Tony Manero""";"""Tumbao Rebelde""";"""Santo Barrio""";1999;"""ska";ska punk;;
spotify:track:4iLjYx9Zcijv6QmRJYhegx;"""Ausencia""";"""Ausencia (Remastered)""";"""Nadie""";1997;"""latin rock""";"""Emi Odeón Chilena S.A.""";;
spotify:track:2VsUpIcml3SnvLfxar58rG;"""Klara""";"""Que Salgan los Dragones""";"""Chinoy""";1993;"""trova";nueva trova;;
spotify:track:2FMqDh4Ul5Xm0YDQZUD1B8;"""Estás Borracho""";"""El Ataque de Zorrita""";"""Venus""";2004;"""latin rock""";"""Bmg""";;
spotify:track:3LseXfZ4ZTiKab1fBNG7VX;"""La Puta Esperanza""";"""Las Torres de Sal""";"""Nano Stern""";1993;"""trova";latin folk;;
spotify:track:4WZII0yn1CSqW4ykwyCoB2;"""Eden""";"""La Dieta del Lagarto""";"""Chancho En Piedra""";2004;"""latin rock";"funk rock""";;
spotify:track:0gWHg31biasRElqCjQ8RuM;"""Sube a Nacer Conmigo Hermano""";"""Alturas de Macchu Picchu""";"""Los Jaivas""";1981;"""latin folklore";folclor andino;;
spotify:track:2hqEl8h5YQbCZRzo6ANgEm;"""Triza""";"""Amor Celeste Imperial""";"""Amanitas""";2015;"""latin indie";"latin alternative""";;
spotify:track:5ihkE5kMVm3hKSE1KLbNeF;"""Hay un fuego""";"""Hay un fuego""";"""Natisú""";2010;"""latin indie""";"""Independiente""";;
spotify:track:50LcxeIZmfgpxdeNbTxZno;"""Endless Eyes""";"""Spark (Deluxe Edition)""";"""Alain Johannes""";2014;"""folk";"""Alain Johannes""";;
spotify:track:6oBDpo9sLOzI72YCcolIPV;"""Estrecha a tu hermano - Remasterizado 2021""";"""Viene... (Remasterizado 2021)""";"""Congregacion""";1975;"""candombe";"latin folklore""";;
spotify:track:2el13qIMOd8cripOqNohGB;"""Mataz""";"""Viajar""";"""Lucybell""";2016;"""latin rock";"rock en español""";;
spotify:track:3Z3sII9qUeih5wnRfOwv9h;"""Luz""";"""Tostado""";"""Perrosky""";2010;"""latin indie""";"""Sello Algorecords""";;
spotify:track:5Tz6nsiQ6dWKAMyyMyXFCi;"""Claroscuro""";"""Apgar:0""";"""Rekiem""";1999;"""nu metal";"rap metal""";;
spotify:track:4EFyQYoO9SUHo712A4wrOM;"""Eternos Días de Invierno""";"""Sanbernardo""";"""Malcorazón""";2003;"""pop rock";"""Alerce""";;
spotify:track:4wC9gXERsGfQdVgLvlWbEA;"""Oleo""";"""Encuentros Cercanos""";"""Sien";2009;"""rock";false;;
spotify:track:6VaTebOeKrAl4yMwEFwoJ0;"""Morir Aquí""";"""Terra Ancestral""";"""Crisálida""";2013;"""progressive rock";"progressive metal""";;
spotify:track:4wocSkmZnED0BlxTQrxy79;"""Genio y Figura""";"""Genio y Figura""";"""Ocho Bolas""";1995;"""punk rock";"""MúsicadelSur""";;
spotify:track:2CsFJYtN6kbVTgOMFRzoii;"""Orgasmo para Dos""";"""Tornasol""";"""Mon Laferte""";1987;"""latin alternative""";"""Independiente""";;
spotify:track:5NL0SXbEMtWkAVmzjQV8s5;"""Cordillera""";"""Amiga""";"""Alex Anwandter""";2012;"""latin indie";latin alternative;;
spotify:track:74bF0QbGKjWxgLkUY4hjWr;"""Crepúsculo""";"""Omi""";"""Tobias Alcayota""";1999;"""musica experimental";"""Tobias Alcayota""";;
spotify:track:4yUNuWOVz2ABSIaXKWGh6E;"""Te Enojai por Todo""";"""22 Exitos Pajarones""";"""Sinergia""";2007;"""latin rock";"funk rock""";;
spotify:track:7gUfZ0jWOxqbtgPxFbWvjW;"""Hasta Poder Respirar""";"""Porvenir""";"""Kuervos del Sur""";2013;"""latin rock""";"""Altafonte bajo licencia exclusiva de Kuervos del Sur""";;
spotify:track:1HTFA18BY5BmiinxbZJeMe;"""Hablé Con Dios""";"""Historias de un Hijo del Blues""";"""La Banda del Capitan Corneta""";1997;"""latin rock""";"""Oveja Negra""";;
spotify:track:4NjSjZlZ5CjKkJC5eqC012;"""Proverbios""";"""Grandes Versiones""";"""Javiera Parra""";1977;"""latin rock""";"""RCA Records Label""";;
spotify:track:6vkSkhVYmRUXbFVLa6W8zG;"""Ruidos""";"""Capital""";"""BBS Paranoicos""";1987;"""melodic hardcore";punk;;
spotify:track:3IkU7FVNlH9Vri8jDStNG7;"""El Mal de Garrison""";"""Tire y Empuje""";"""Miss Garrison""";2005;"""latin indie";"latin alternative""";;
spotify:track:3iqZ8k8IDHQ7964JUjAtXn;"""El Viejo Que Bailaba """"El Nuevo Estilo de Baile""""""";"""Mi Destino (Confesiones de Una Estrella del Rock)""";"""Jorge González""";1984;"""latin rock""";"""Alerce""";;
spotify:track:62mwaHYHB2gFuLpxbkcXHl;"""Premio de Consuelo""";"""La Canción Que Te Debía""";"""Congreso""";2000;"""latin folklore";nueva trova;;
spotify:track:2JERdwsoL6dKXEakb5YYJp;"""Algo Está Pasando""";"""De Kiruza""";"""De Kiruza""";1997;"""latin rock""";"""De Kiruza""";;
spotify:track:5Em7MA991Gn3yhheaul0CX;"""Mentira""";"""La Ley MTV Unplugged""";"""La Ley""";1970;"""rock en español";latin rock;;
spotify:track:2KanLveTiYxcpmC4D6bcK8;"""Servú (Ronda)""";"""Dramones""";"""Familea Miranda""";1977;"""math rock""";"""BCore Disc""";;
spotify:track:0QC10L4W2PMpxfoIhIEHLH;"""Lobo Estepario""";"""Donde Nacen los Vientos""";"""Hielo Negro""";2007;"""stoner rock";"stoner metal""";;
spotify:track:0lmX28jU1H6Zf02dzyvA9f;"""Vuelvo a Vivir""";"""Nuevos Tiempos""";"""Fahrenheit""";1991;"""aor""";"""Fahrenheit""";;
spotify:track:4jAXSGdLWPINLYokVVUsh9;"""Dime Qué Pasa""";"""Dime Qué Pasa""";"""La Floripondio""";1987;"""ska";reggae en español;;
spotify:track:5yWLs1RZPgExCvSTmVnWGc;"""Me tienes loco""";"""770""";"""El Cruce""";1995;"""latin rock";"blues""";;
spotify:track:0aAX3PzSwgxfJ9ehPf98yp;"""Muerte Astral""";"""Vuelve a Arder""";"""Yajaira""";2005;"""stoner rock";stoner metal;;
spotify:track:4MtY4HDLtzzmGl63yXVJSZ;"""Nunca Más""";"""Agénesis""";"""Cler Canifrú""";1984;"""rock";"""Red Poncho""";;
spotify:track:1DHWa8fT2ZiyfcUkeDpPG7;"""Pera Madura""";"""Pera Madura""";"""Sergio Inostroza""";2000;"""rock";"""Planet Blue Records USA""";;
spotify:track:0zKSUGuA6r9x20w6hANZfQ;"""Verde Claro""";"""Mandrácula""";"""Mandrácula""";2005;"""latin rock""";"""Alerce""";;
spotify:track:3TixN0F204L1fhiN3LmulO;"""Una Razón""";"""Sin Perdón""";"""Sin Perdón""";2008;"""melodic hardcore";hardcore;;
spotify:track:6RTPhBy716vfQKcfCOVi3I;"""Trees""";"""II""";"""Föllakzoid""";2012;"""krautrock";space rock;;
spotify:track:1hEPzLUP5xUWLhMrpMeDdE;"""Wewo""";"""La Mano Ajena""";"""La Mano Ajena""";2018;"""latin alternative""";"""TUTL 2008""";;
spotify:track:3TKoXGYVPcXbxO07t8CEBl;"""Viaje Fantastico - Remasterizado 2021""";"""Juegos Prohibidos (Remasterizado 2021)""";"""Beat 4""";1981;"""rock";"""ARCI""";;
spotify:track:26AInMWUkuYLtMet3IHI4X;"""El Ojo de Dios""";"""I: Viento Sur""";"""Bagual""";1981;"""stoner rock";stoner metal;;
spotify:track:4YdzIFRNNztAB1JF4AltPZ;"""Ella Llora - Remastered""";"""Que Nos Devuelvan La Emoción (Remastered)""";"""Upa!""";1970;"""latin rock""";"""UPA""";;
spotify:track:1fwyd3uffoIUVw5FNoWaZg;"""No Hay Nada Más Feo Que una Mujer Borracha""";"""Lo Normal""";"""Horregias""";1997;"""riot grrrl""";"""VACACI-O-NES""";;
spotify:track:1j0jAzxLglyMQaA4C3oqZs;"""Perro Rabioso""";"""Round 3""";"""Devil Presley""";1995;"""hard rock";"""Devil Presley""";;
spotify:track:3Yt7vScNXj7VtWeH8Ras00;"""El Lagarto""";"""I""";"""Alejandro Silva""";1995;"""groove metal";"""673062 Records DK2""";;
spotify:track:7EdwoFIHkKb5hW2hKMJYri;"""La Historia No Me Convence solo me atraganta""";"""En el bunker""";"""Fulano""";1986;"""jazz rock";false;91.268;4
Ranking Noticia 24 horas - Rockaxis;"""La pera madura""";"""Nueva ola""";Sergio Inostroza;1963;"""rock";;;
Ranking Noticia 24 horas - Rockaxis;"""Las hijas de eva""";"""Las hijas de eva""";Tatiana Bustos;1997;"""balada romantica";;;
Ranking Noticia 24 horas - Rockaxis;"""Inocente""";"""Supersórdido""";Supersordo;1992;"""punk";;;
Ranking Noticia 24 horas - Rockaxis;"""En el metro""";"""Rock total""";Banda Metro;1984;"""rock";;;
Ranking Noticia 24 horas - Rockaxis;"""Toy con caña""";"""Canciones de borrachos""";Los Mox!;1999;"""harcore punk";;;
Ranking Noticia 24 horas - Rockaxis;"""Dicen""";"""Nueva ola""";María Teresa;1964;"""bolero";;;
Ranking Música popular;"""¿Por qué no se van?""";"""Pateando piedras""";Los prisioneros ;1986;"""rock ";;;
