Track URI;Track Name;Album Name;Artist Name(s);Year;Genres;Record Label;;
spotify:track:0FauDhvAuanceOTIGQZAl4;"""Locura Espacial""";"""Rindanse Terricolas""";"""Chancho En Piedra""";1995;"""latin rock";"funk rock""";;
spotify:track:1dSWYkGqX9hv9xLdKYR2vk;"""Dame Luz""";"""Esperando Nada""";"""Nicole""";1997;"""latin rock""";"""BMG Music""";;
spotify:track:4Qs3OEgzBPGPmRR5QJ0UIs;"""Mi Equilibrio Espiritual""";"""31 Minutos""";"""31 Minutos";1997;"""pop rock";"""lullaby""";;
spotify:track:7t2dIq6b6fKluPuSnJajeA;"""Nonato Coo""";"""Nonato Coo""";"""Niños Del Cerro""";1999;"""latin indie";"neo-psychedelic""";;
spotify:track:57gcHVTTVxY4LN84KpPDpf;"""Doble Opuesto""";"""Doble Opuesto""";"""La Ley""";1991;"""rock en español";latin rock;;
spotify:track:0fbP8sQu1rEgT6RakeidoS;"""He Barrido el Sol""";"""Los Tres""";"""Los Tres""";1991;"""latin rock";rock en español;;
spotify:track:32zCRb0gJWxzULvUp4YjiP;"""Evol""";"""Vol.2""";"""Aguaturbia""";1997;"""psychedelic rock";"acid rock""";;
spotify:track:5xjomARNn4eeQ9yXVTIXBJ;"""Mágico""";"""Toque""";"""Joe Vasconcellos""";1999;"""latin rock";"latin alternative""";;
spotify:track:5QpK3POlui03rtsDxsfySv;"""Te Amo Tanto""";"""Corte en Trámite""";"""Javiera & Los Imposibles""";2010;"""latin rock""";"""Evolución Discos""";;
spotify:track:3M5dIqhYOkHLhvsjxLn05b;"""Simetría""";"""Conducción""";"""Ases Falsos""";2014;"""latin rock";"latin indie""";;
spotify:track:6iC3JkDH3Q1ga7CF5HJ3Zw;"""Sin Ti""";"""Sin Ti""";"""Frutos Del País""";2017;"""latin rock""";"""ARCI MUSIC""";;
spotify:track:09kFUWzSztmpz03eTLg7AW;"""En Mis Genes""";"""Nefertiti""";"""Protistas""";2014;"""latin indie";"latin alternative""";;
spotify:track:1z9xCoVQQ4lrc7Z21ec9hI;"""El Frio Misterio - Remaster 2002 / Album Version""";"""Grandes Exitos""";"""Electrodomésticos""";2002;"""latin rock""";"""EMI CHILE""";;
spotify:track:4skuEIloXWuxxgekKupkEH;"""Tu Falta De Querer""";"""Mon Laferte (Vol. 1)""";"""Mon Laferte""";2015;"""latin alternative""";"""Universal Music Mexico""";;
spotify:track:0qvCfchoFb3zWBK1bhvor3;"""Disco Blood""";"""Disco Blood""";"""Dorso""";1998;"""thrash metal";"speed metal""";;
spotify:track:1wGNjZQoO4Ac5zotF3aZTb;"""Bailando Solo""";"""La Velocidad de la Luz""";"""Los Bunkers""";2013;"""latin rock";rock en español;;
spotify:track:67MT6TA0UmanJIxZgKigAY;"""Caballos De Histeria""";"""Lucybell""";"""Lucybell""";1998;"""latin rock";"rock en español""";;
spotify:track:2dz5G8cubIlwFN6SJtj0rg;"""Sentimiento Original""";"""Gondwana""";"""Gondwana""";1997;"""reggae en español";reggae;;
spotify:track:27mMu4IDObWXEZxbHky8Md;"""Ayer""";"""Similia Similibus""";"""Los Santos Dumont""";1999;"""latin rock""";"""Beast Discos""";;
spotify:track:55b1Hh9baF7WA0UCiCzEPJ;"""Pichanga""";"""Weichafe""";"""Weichafe""";2002;"""latin rock""";"""Musica y Entretenimiento""";;
spotify:track:58fFlF7sOSo0eOgNajFWO9;"""Lophophora""";"""Marca Chancho""";"""Chancho En Piedra""";2000;"""latin rock";"funk rock""";;
spotify:track:1UbhlpwNlGdM3aOBHsj08v;"""Bolsa de Mareo""";"""Fome""";"""Los Tres""";1997;"""latin rock";rock en español;;
spotify:track:1OUlgbouy6BwG658XQ8efM;"""No Estar Aquí""";"""Traga!""";"""Fiskales Ad-Hok""";1995;"""punk";ska punk;;
spotify:track:5pgJEYwomjlOQjpKerjUZS;"""El Tuerca Go-go""";"""Canciones Funcionales""";"""Angel Parra""";1969;"""latin folklore";nueva trova;;
spotify:track:4L0yXM4VQDQOGqLkooqV1R;"""Cueca Sola""";"""Cortacalles""";"""Tenemos Explosivos""";2022;"""post-hardcore";melodic hardcore;;
spotify:track:572uC924WbnO4ABB2r1Edc;"""Esquemas Juveniles""";"""Esquemas Juveniles""";"""Javiera Mena""";2006;"""latin indie";electropop;;
spotify:track:57Rf3Hlz4nQxO2K4fWhZiE;"""Cómo no me va a doler""";"""Violenta Fortuna""";"""Alectrofobia""";2018;"""hard rock";"""Alectrofobia""";;
spotify:track:0E47pBZ2vm2NkEDKONAIuo;"""Reina Japonesa""";"""Por su Atención gracias""";" ""Fernando Milagros""";2009;"""indie pop";"""latin folk";;
spotify:track:6W1BLmVBxkqZwFQcORQLnv;"""Tren Al Sur""";"""Corazones""";"""Los Prisioneros""";1990;"""latin rock";"rock en español""";;
spotify:track:6HA0cETjAdZVme1VZvA5pf;"""Matar al Presidente""";"""Dime Qué Pasa""";"""La Floripondio""";2006;"""ska";reggae en español;;
spotify:track:13a4y2gmdbd3yzPTLv2bSS;"""Noche""";"""Sueños En Transito""";"""Nicole""";2017;"""latin rock""";"""BMG Music""";;
spotify:track:1Qp77m1Ai0jnuD7ojdYzr9;"""Freebola""";"""Glup! 1999""";"""Glup!""";1999;"""latin rock""";"""RCA Records Label""";;
spotify:track:49SpHaonnqks7taOwDfV6Z;"""Antipatriarca""";"""Vengo""";"""Ana Tijoux""";2014;"""latin hip hop""";"""Nacional Records""";;
spotify:track:37TLwDkDTWei9aM8kfp796;"""Mírame Solo Una Vez - Remasterizado 2023""";"""Ultrasol (Remasterizado 2023)""";"""Christianes""";2023;"""latin rock""";"""EMI Odeon Chilena S.A.""";;
spotify:track:718bFpoJt6XsqOxsnBQdLP;"""Amor Alternativo""";"""22 Exitos Pajarones""";"""Sinergia""";2001;"""latin rock";"funk rock""";;
spotify:track:65nV93sigCdLeN8XJ8wes8;"""Lo Que Quieras""";"""Música gramática""";"""Dënver""";2010;"""indie pop";2024-04-19T21:04:59Z;;
spotify:track:6Lg1r56wubG76t2fOF9iNa;"""Mira Niñita - 2020 Remasterizado""";"""La Ventana (2020 Remasterizado)""";"""Los Jaivas""";2020;"""latin folklore";folclor andino;;
spotify:track:6XgHYiaNyZJp8mUsaOezzM;"""Las Cosas Van Mas Lento""";"""Rayo Al Ojo""";"""Panico""";1997;"""rock alternativo";"""Panico""";;
spotify:track:7modUKFjYBv908P7h8WSSA;"""Acuario""";"""Acuario""";"""Manuel García""";2012;"""trova";nueva trova;;
spotify:track:0dFZjxL6drxK9oupqmF773;"""Sindrome Camboya""";"""Los Peores De Chile""";"""Los Peores De Chile""";1994;"""latin rock""";"""RCA Records Label""";;
spotify:track:3UUtewTLgASbX6afOBHAeQ;"""El crack""";"""Corazón de Chileno [Canciones para Alentar a la Roja] - EP""";"""Los Miserables""";2003;"""latin rock";ska punk;;
spotify:track:3zswqlBO4WgGAbSLvMpOn1;"""Hay Un Limite""";"""Aleste""";"""Aleste""";1994;"""latin rock""";"""Universal Music Chile""";;
spotify:track:7tw6XcaBNEjXYKhSEGRVR0;"""Limito Con el Sol""";"""Campos Finitos""";"""Saiko""";2001;"""latin rock""";"""EMI CHILE""";;
spotify:track:5Oh5yk9wYAUK1vdauMdHND;"""Hijos De La Miseria""";"""Dead Soul""";"""Criminal""";1997;"""groove metal";thrash metal;;
spotify:track:375fFsG02nH7OmeJrhbUQ7;"""Dulce""";"""Muérdete La Lengua (Edición Especial)""";"""Francisca Valenzuela""";2007;"""latin rock""";"""Frantastic Records""";;
spotify:track:1s3hhjW3QGCzTECyXZxu39;"""La Enredadera""";"""Los Accidentes Del Futuro""";"""Leo Quinteros""";2007;"""indie pop";"""Taka Taka Records""";;
spotify:track:649L5nomqccj0jQCm9ZiZX;"""Oscar Wilde - Remasterizado 2021""";"""Fictions (Remasterizado 2021)""";"""Los Vidrios Quebrados""";2021;"""garage rock""";"""ARCI""";;
spotify:track:41JMshHJExQtMdpuugABYB;"""Lo Que Mereces""";"""Las Horas""";"""Saiko""";2006;"""latin rock""";"""Saiko""";;
spotify:track:5qWW6PPLL6yjnlFZxy93et;"""Santa Lucía - 2022 Remasterizado""";"""La Rata Bluesera 20 años Edición Especial (2022 Remasterizado)""";"""La Rata Bluesera""";2022;"""blues";"latin rock""";;
spotify:track:2UJJvmZfcuWimFaigK9tQf;"""Adolfo y Benito";" Augusto y Toribio""";"""En el Bunker""";1989;"""rock alternativo";"""jazz fusion";;
spotify:track:5dXxcmq9yFPcPw8R1wsP4Y;"""Con la Mano en la Biblia""";"""La Historia""";"""Los Golpes""";2006;"""balada romantica";"""Plus Music Records""";;
spotify:track:3Mx4MDJLqsXKyD6GK5SA6v;"""Copenhaguen Schtorba""";"""Akinetón Retard""";"""Akinetón Retard""";1999;"""experimental jazz";jazz fusion;;
spotify:track:6SCPtQ0YEXKn7yh7OUM7WW;"""El Cielito De Mi Pieza""";"""1971-1982""";"""Congreso""";1982;"""latin folklore";nueva trova;;
spotify:track:6uO8qytPVk6ne1xDdBeqnY;"""Los Cometas""";"""El Vuelo del Pillán""";"""Kuervos del Sur""";2016;"""latin rock""";"""Altafonte bajo licencia exclusiva de Kuervos del Sur""";;
